HOUSE PLANTS,Flowering / Foliage
Amaryllis,Flower
African Violet,Flower
Angel Wing Begonia,Flower
Anthurium,
Barberton Daisy,Flower
Beach Spider Lily,Flower
Belladonna Lily,Flower
Bird Of Paradise,Flower
Blushing Bromeliad,Flower
Busy Lizzie,Flower
Calla Lily,Flower
Coral Berry,Flower
Corsage Orchid,Flower
Cyclamen Persicum,Flower
Eternal Flame,Flower
False Shamrock,Flower
Flamingo Flower Plant,Flower
Flaming Sword,Flower
Flowering Maple Plant,Flower
Kaffir Lily Plant,Flower
Kalanchoe,
Lollipop Plant,Flower
Lycaste Orchid,Flower
Madagascar Jasmine,Flower
Medusa's Head Plant,Flower
Moth Orchid,Flower
Ornamental Pepper Plant,Flower
Peace Lily,Flower
Phalaenopsis Orchid,
Poinsettia,Flower
Poison Primrose,Flower
Queens Tears,Flower
Rose Of China,Flower
Scarlet Star,Flower
Slipper Orchid,Flower
The One Colored Paphiopedilum Concolor,Flower
Urn Plant,Flower
Winter Cherry,Flower
Aluminum Plant,Foliage
Areca Palm,Foliage
Asparagus Fern,
Arrowhead,Foliage
Bird's Nest Fern,Foliage
Boston Fern,Foliage
Broadleaf Lady Palm,Foliage
Bromeliad,
Canary Date Palm,Foliage
Calathea,
Cast Iron Plant,Foliage
Chinese Evergreen,Foliage
Chinese Money Plant,
Coral Bead,Foliage
Corn Plant,Foliage
Creeping Fig,Foliage
Cretan Brake Fern,Foliage
Croton,Foliage
Dumb Cane,Foliage
Dracaena Marginata (Dragon Tree),
Elephant's Ear,Foliage
European Pan Palm,Foliage
Fiddle Leaf Fig,Foliage
Golden Pothos,Foliage
Green Velvet Alocasia,Foliage
Guiana Chestnut,
Hawaiian Ti,Foliage
Heart Of Jesus,Foliage
Heart Leaf Philodendron,Foliage
Hoya,
Ivy - Hedera helix,
Ivy - English,
Kentia Palm Plant,Foliage
Lady Palm - Rhapis Excelsa,Foliage
Lemon Lime Dracaena,
Lucky Bamboo,Foliage
Madagascar Dragon Tree,Foliage
Maidenhair Fern,Foliage
Majesty Palm,
Mexican Fortune Tree,Foliage
Monstera,
Parlor Palm,Foliage
Peacock Plant,Foliage
Peperomia,
Pin Stripe Calathea,Foliage
Philodendron,
Ponytail Palm,
Pothos,
Pygmy Date Palm,Foliage
Rabbit's Foot Fern,Foliage
Rattlesnake Plant,Foliage
Rose Painted Calathea,Foliage
Rubber Plant,Foliage
Sago Palm,Foliage
Sentry Palm Plant,Foliage
Song Of India Plant,Foliage
Snake Plant,
Spider Plant,Foliage
Swiss Cheese Plant,Foliage
Umbrella Tree,Foliage
Venus Fly Trap Plant,Foliage
Wandering Jew,Foliage
Weeping Fig Tree,Foliage
Zebra Plant,Foliage
Zebra Plant,Foliage
ZZ Plant,Foliage
Aloe Vera,Cactus / Succulent
Air Plant,
Argyroderma testiculare,Cactus / Succulent
Baby Rubber Plant,Cactus / Succulent
Bunny Ear Cactus,Cactus / Succulent
Century Plant,Cactus / Succulent
Christmas Cactus,Cactus / Succulent
Christmas cheer,Cactus / Succulent
Coral Cactus,Cactus / Succulent
Donkeys Tail,Cactus / Succulent
Easter Cactus,Cactus / Succulent
Housetree Leek,Cactus / Succulent
Flaming Katy,Cactus / Succulent
Goat's Horn Cactus,Cactus / Succulent
Golden Barrel Cactus,Cactus / Succulent
Jade Plant,Cactus / Succulent
Jelly Beans,Cactus / Succulent
Lithops fulleri,Cactus / Succulent
Lithops optica 'rubra',Cactus / Succulent
Mother In Laws Tongue,Cactus / Succulent
Mother Of Thousands,Cactus / Succulent
Orchid Cactus,Cactus / Succulent
Panda Plant,Cactus / Succulent
Parallel Peperomia,Cactus / Succulent
Peruvian Apple Cactus,Cactus / Succulent
Pincushion Peperomia,Cactus / Succulent
Rat's Tail Cactus,Cactus / Succulent
Tiger Jaws,Cactus / Succulent
Trailing Jade,Cactus / Succulent
Truncate Living Stone,Cactus / Succulent
Watermelon Peperomia,Cactus / Succulent
Yucca,
Zebra Haworthia,Cactus / Succulent